"","Period","`Mito Ratio`","Regions","RIN","`Age (Numeric)`","`Mapping Rate`","`rRNA ratio`","Diagnosis","`Total N Reads`","Sex","Residuals"
"ENSG00000162426",0.323353739044062,0.224208895454286,0.109702975795852,0.000960970053320768,0.00698870025638393,0.0112093280280897,0.0104758952040181,0.010738762563064,0.000355404301530732,0,0.302005329299393
"ENSG00000252254",0,0.100837964511444,0,0.0238179922428368,0.000331898873645533,0.00469045513161847,0.00417207452240449,0,0.00249586129203544,0,0.863653753426015
"ENSG00000142599",0.229287281028012,0.471053562044642,0.0286913189816467,0.0850201385188017,0.00840274688111481,0.0127301195020675,0.00111509246181936,0.00634790825012242,0.000583463780730763,0.00139050149908787,0.155377867051955
"ENSG00000221083",0.223553491217939,0.193157612144107,0.0551868406717703,0.0533512297840298,0.000255047914227061,0.0007256331173473,0.000828759200394004,0.00211496387053143,0.00369828150815018,0,0.467128140571504
"ENSG00000224315",0.409029217890566,0.216451871392642,0.0833057537455471,0.0300923020583615,0.000110166327239794,0.000543523890605398,1.51017635201167e-05,0.000287046778390113,0.00187972645797843,0,0.258285289695149
"ENSG00000222511",0.429962136507487,0.164638539650928,0.0204277016837736,0.0148425105058535,4.66546420833062e-05,0.00523638581576622,0.000937306608302183,0.000141471650275055,4.94186148685819e-06,0,0.363762351074044
"ENSG00000228423",0.4705836439595,0.174786059850502,0.078775152971681,0.0102348816059267,0.00087806579580725,1.40362111559779e-06,0.000400659344393001,0,0.000895703531960272,0.000457890581315869,0.262986538737798
"ENSG00000074800",0.621255822755195,0.15108112955958,0,0.0482512988491545,0.0121530532584265,0.012505907726729,0.000427523393534102,0.004137017235618,0.000200840678242112,1.94788551127607e-17,0.14998740654352
"ENSG00000236269",0.0309459296612182,0.209115696571658,0.152389580286267,0.00739238473562787,0.00397984316929816,0.0111925120943893,0.037097502744376,4.30821951708275e-10,0.000620735244944065,0.00504790482501575,0.542217910236384
"ENSG00000142583",0.617306376816497,0.0607737604097452,0.0720266447612712,0.017295251666208,0.000434449625334397,0.00762206768000593,0.00029667047144795,0,2.46757716691517e-05,0,0.224220102797821
"ENSG00000049239",0.179854578785375,0.267016266939696,0.0829862711397963,0.0254454786868861,0.0339140906614518,0.0324957105483386,0.00456571142550085,1.44540761446471e-10,0.0011559349234697,0.00219902064936942,0.370366936095576
"ENSG00000171621",0.199450860665257,0.197855490823302,0.00680745947867899,0.00761653881017077,0.00126717581562319,0.0136522938752008,0.00427103401747721,0.00463552367187569,0.000209096300605578,0.000573001612792124,0.563661524929017
"ENSG00000171612",0.497959106875129,0.179791948377514,0.093225138711951,0.0246640145286022,0.0135411237335152,0.000886637855157257,0.00354444230359043,0.00669045467513184,3.91332192414139e-06,0,0.179693219617484
"ENSG00000231181",0.20138239128957,0.221706694848606,0.041726165653389,0.0213451291732657,0.00240293344550532,0.000205649441010689,3.70447931681521e-05,2.20641992544151e-10,0.00146376817378514,3.66787010937292e-13,0.509730222960691
"ENSG00000188807",0,0.390087325809746,1.13054175957419e-10,0.121288612300404,6.18076927566953e-05,0.0748893079022626,0.00231346724203066,5.39017664066301e-12,0.000213384398522079,0.00111244799736799,0.410033646538465
