Mixture	Neurons	Astrocytes	Oligodendrocytes	Microglia	Endothelia	P-value	Correlation	RMSE
ERR1473109	0.60764282330079	0.0418806525801939	0.0191283634993611	0.0303541648368025	0.300993995782853	9999	0.535847466267731	0.893607922705561
ERR1473110	0.603828263074168	0.0623060199818392	0	0.0352084849099801	0.298657232034013	9999	0.55260133278719	0.877529883921407
ERR1473111	0.709986053130764	0	0	0.0295023184607854	0.26051162840845	9999	0.499951571473769	0.936808947068848
ERR1473112	0.651483290920159	0.0704482027114875	0	0.0235411044222249	0.254527401946128	9999	0.531425514627351	0.899379709318554
ERR1473113	0.571390746016322	0.0608301510737545	0.00138952597394844	0.0255548980262694	0.340834678909706	9999	0.54255890120611	0.886635153868437
ERR1473114	0.711651818987199	0.0541642576568696	0.00166778624568977	0.0317160527539056	0.200800084356336	9999	0.501607784130178	0.931406652170251
ERR1473115	0.460390619866982	0.0410890177120556	0.014957041363391	0.0532473094023428	0.430316011655229	9999	0.612709497599825	0.818059674546569
ERR1473116	0.680151494090913	0.0143031283047054	0.000827799174659927	0.0427046686367358	0.262012909792985	9999	0.489222783037768	0.942608800265126
ERR1473117	0.690450582810627	0	0.00461838228181882	0.0368167427254359	0.268114292182118	9999	0.48062486886499	0.952224203301831
ERR1473118	0.71168437045605	0	0.008784838399299	0.0422026483720285	0.237328142772622	9999	0.478904759156444	0.954762296042156
ERR1473119	0.749564789230079	0	0	0.0141639334004139	0.236271277369508	9999	0.476907212206818	0.961738371516268
ERR1473120	0.686135260116866	0.00611728559832489	0.00465014054159346	0.035915013805757	0.267182299937458	9999	0.452343966166	0.976367238239291
ERR1473121	0.59624760772972	0.0954636536415703	0.000959042865089248	0.0433775168285822	0.263952178935038	9999	0.563773599573576	0.864370085173972
ERR1473122	0.122368720710864	0.050842612773339	0	0.0501262881401845	0.776662378375612	9999	0.557440139452878	0.907336485252018
ERR1473123	0.125672921676273	0.0210915147012474	0	0.0532941682993146	0.799941395323165	9999	0.562464020145907	0.907087130851627
ERR1473124	0.128035836184738	0.0829799604360169	0	0.0555654989536079	0.733418704425638	9999	0.555667988297265	0.901543945376858
ERR1473125	0.162795518541321	0.0823415540009235	0	0.0300101227320862	0.724852804725669	9999	0.575963335316847	0.878501851183227
ERR1473126	0.135725146423558	0.0569513634870055	0	0.0440173962722856	0.763306093817151	9999	0.600275674026869	0.860024056880218
ERR1473127	0.0781769896845606	0.0847081490508773	0	0.0463586268314054	0.790756234433157	9999	0.605455873741857	0.859579061846925
ERR1473128	0.699299604995253	0	0.00372704420481232	0.0314694811134124	0.265503869686522	9999	0.443863674412271	0.985562652357777
ERR1473129	0.0877356980440188	0.0741023990783456	0	0.0760566614758132	0.762105241401822	9999	0.600724277872588	0.861091841373983
ERR1473130	0.090850009940101	0.0461410712365404	0	0.0522658606693946	0.810743058153964	9999	0.644817033730339	0.819457079206557
ERR1473131	0.123444361180484	0.0373815241758058	0	0.055316649377989	0.783857465265721	9999	0.627871669370833	0.834102873203696
ERR1473132	0.182346542279673	0.0632805195913604	0	0.00314943854235158	0.751223499586615	9999	0.503422016018038	0.953647097114194
ERR1473133	0.134907617762825	0.0291102978193514	0	0.0817972694579513	0.754184814959872	9999	0.535488942196511	0.927141739484663
ERR1473134	0.129554487950327	0.0747011066409737	0	0.0879682219643981	0.707776183444302	9999	0.531837457389316	0.922343660361979
ERR1473135	0.110207611954883	0.0566123510364265	0	0.0788191885743217	0.754360848434369	9999	0.637714804468714	0.819406406079009
ERR1473136	0.118740240833725	0.0525328737053876	0	0.0784149386354303	0.750311946825457	9999	0.595163747974535	0.865010848492669
ERR1473137	0.222342042767988	0.0672295617720763	0.0223537382157847	0.14242102827038	0.545653628973771	9999	0.487832459033949	0.941632103193634
ERR1473138	0.241326036132291	0.0636879976833119	0.0656615110742827	0.177159442747181	0.452165012362933	9999	0.375099615405684	1.02568725574855
ERR1473139	0.11075974360335	0.0687495038155625	0	0.0909401750706992	0.729550577510389	9999	0.590550970464365	0.867040731285885
ERR1473140	0.0273740676430107	0.0220252216819329	0	0.0815158115488737	0.869084899126183	9999	0.68695852260611	0.782052744134529
