"","DonorID","Period","Regions","`Age (Numeric)`","`PMI (hours)`","pH","RIN","`Dissection Score`","Sex","Residuals"
"ENSG00000004838",0.131490688625688,0,0.259001889340209,0.0311056152413081,0.0146914227375617,0.00888876070805598,0.000631212709393847,0.00108669735215698,0.0313617584849628,0.521741954800664
"ENSG00000004848",0.0442617663477754,0.0753923707177742,0.520057662277328,0.00908288096885953,0.00179676242886065,0.000331605173014612,0.00559171062704981,0.00514655192148732,0.0249624657607867,0.313376223777064
"ENSG00000004864",0.263307440070281,2.86821197339249e-10,0.210232470601447,0.0142075415007007,0.0243189963203585,0.019891135457507,0.00132540204259242,0.00120415917719645,0.0620626472537599,0.403450207289336
"ENSG00000004866",0.159420258925511,0.368684633408092,0.24522578594255,0.00215462420850921,0.0509573024967355,0.0111652408125973,0.021614241766983,0.00251240136854206,0,0.13826551107048
"ENSG00000004897",0.615438250907904,0,0.0567262861499027,0.00849151303695003,0.00662868229527701,0.0542586060148405,0.01087583854139,0.00116262063053289,0,0.246418202423202
"ENSG00000004939",0.229779339364069,0.520560181093576,0.00946460397247885,0.00382436606306932,0.0015063275913079,0.00417720535288241,0.000930119914611524,0.00365176906874035,4.86269442357414e-14,0.226106087579216
"ENSG00000004961",0.46374171801078,0.15048329444451,0.0436178003084558,0.00752282898718291,0.0613716746521458,0.0456503340604841,0.0240519397223704,0.00411029558856754,0.0384915933508836,0.160958520874619
"ENSG00000004975",0.120625734571119,0.46730621462501,0.179184246562625,0.0102243098035641,0.0286765769984366,0.0118807230313643,0.00149685903924699,0.000509520993365621,2.77759835679645e-12,0.180095814372491
"ENSG00000005007",0.202224346414772,0,0.325675190124067,0.0276108686697616,0.185250516462966,0.0105474060027877,0.019337473063216,0.000100239440049404,0.00316781854490736,0.226086141277473
"ENSG00000005020",0.0967895523086953,0.246677376071163,0.198814985560788,0.0447121087686988,0.060388594691629,0.0294997289920682,0.00961814747582807,0.0171413036653739,0.0298006285714447,0.266557573894312
"ENSG00000005022",0.480148605408885,0,0.0177635633185896,0.00191112664771771,0.0864390311262368,0.00529482472512078,0.00145235690148894,0.0020239357718415,2.04690318055576e-11,0.404966556079651
"ENSG00000005059",0.112643172376344,0.257495504547403,0.161680600250915,0.0269908720761814,0.020372349347077,0.0386443266316867,0.00860833034903983,0.00177608355920493,0.128357838974522,0.243430921887627
"ENSG00000005075",0.435563234987477,0,0.0987495979564753,0.101090934517567,0.0138406042901524,0.00104750382450383,0.0208903338743828,0.000169511712112613,1.04284631412323e-19,0.328648278837329
"ENSG00000005100",0.258027707634466,0.220588192968549,0.0304993119296223,0.135520889884852,0.0236434375881555,0.00787252617686749,0.0240286566699497,4.94109760219714e-06,1.32631760835127e-10,0.299814335917303
"ENSG00000005108",0.286450918889455,0.375011715222392,0.0200081282031328,0.0200985239949632,0.00992844944401442,0.00658159855981346,0.00199389940520335,0.00381705716195844,0,0.276109709119067
"ENSG00000005156",0.10413725180079,0.550232484755033,0.131580837369334,0.052234794510924,0.0256572590555208,0.00378479824762126,0.0183821815157655,9.26151117696591e-05,0.00880964858933251,0.10508812904391
"ENSG00000005175",0.438921693519272,1.29892482169502e-11,0.037718630036923,0.00422803508983593,0.00537429395940795,0.180995241401093,0.0544911488839175,0.000101559701377126,0.0211653575525908,0.257004039842593
"ENSG00000005189",0.127810646785263,0.30277260720055,0.294038438060583,0.00152094089338929,0.0185336973067341,0.00732444968263167,0.0140728514303223,0.000869708972532756,0.034688110169319,0.198368549498674
"ENSG00000005194",0.491138679987195,4.35506332647189e-14,0.0949538376462366,0.0135136384277048,0.0204876917370627,0.101064793682648,0.0162731719727472,0.00157459148193827,0,0.260993595064424
"ENSG00000005206",0.364914367146861,0,0.346351920961696,0.00239518359139582,0.00669722402577251,0.0240693170164694,0.000884091551323773,0.00130329873523202,0,0.25338459697125
"ENSG00000005238",0.41622846500901,0,0.215894632965695,5.27000715106653e-06,0.0635515908542818,2.83943277116571e-06,0.00143016691125625,1.82167744299316e-06,1.7426986692224e-19,0.302885213142392
"ENSG00000005243",0.193742957983608,0.373066144904064,0.00506952949909117,0.0122421382409944,0.0325577066244949,0.0150976768285621,0.0787315552210255,0.00277256296749954,0,0.28671972773066
"ENSG00000005249",0.206036770469961,0.214989782653908,0.297927486452454,0.00431179132809887,0.00110339853336784,0.0773858957312106,0.0193462422511816,6.996848302728e-05,0.0206272778317423,0.158201386265049
"ENSG00000005302",0.481185487080803,1.93572111662748e-13,0.087886751704733,0.00785952346629021,0.00161923317454155,0.128103188597344,0.00583162120888763,0.00822055145224548,5.4212971622566e-12,0.27929364330954
