"","DonorID","`Proportion of Neurons (MultiBrain)`","Regions","`Proportion of Astrocytes (MultiBrain)`","`Proportion of Endothelia (MultiBrain)`","Period","`Proportion of Oligodendrocytes (MultiBrain)`","`PMI (hours)`","`Age (Numeric)`","RIN","pH","`Dissection Score`","Sex","Residuals"
"ENSG00000005469",0.235645577931688,0.16210457448133,0.0551456705913267,0.0293962498398423,0.0293750932790354,7.39856946551031e-09,0.0853291678006373,0.0356033483838112,0.0149807288691747,0.000563123447496819,0.000394751630275292,0.000185875547729051,1.65999614515216e-09,0.351275829139087
"ENSG00000005483",0.0741113553914532,0.0612796635826638,0.120545333077888,0.0215756058291005,0.0332489426293774,0.504416592016934,0.00940644107943254,0.000769083297946682,0.000110451235521,0.000519055491727695,0.000466330271249924,3.53394591246084e-05,3.49729037801261e-10,0.173515806287851
"ENSG00000005486",0.132725949771778,0.0254351917534027,0.204329382847607,0.00904341151283103,0.00698311450444026,0.490521086658522,0.00468651930062014,1.69226115852391e-07,8.26229827302474e-05,2.31085096065605e-05,4.14298561942196e-05,9.4192965777879e-07,4.10748936387147e-12,0.126127071142386
"ENSG00000005513",0.0488185623652631,0.194768642283171,0.135078004636769,0.0903063470998238,0.0848501016844002,0.058511949761544,0.0679994272255173,2.25858530776197e-05,1.85694803116696e-05,0.000131929245908927,1.13719796745965e-05,0.000135069483911302,3.29190375121935e-12,0.319347438897335
"ENSG00000005700",0.219748073913846,0.0701553729364219,0.0584285793796685,0.0282123037387888,0.0403337637340628,0.414046662112885,0.0123944532323773,0.000114628291349995,0.00130020115753293,0.000193175682086079,0.00051701100059374,5.89624211064713e-05,9.69398572701801e-12,0.154496812389586
"ENSG00000005801",0.171963465022623,0.0416477160237007,0,0.0158975099394248,0.0129294435224735,0.649970181435569,0.00963842940963485,1.05496724256867e-05,2.27669839865574e-07,7.2220898209316e-07,3.25820858578976e-06,7.10826517702593e-07,1.00550170050374e-10,0.097937785959673
"ENSG00000005810",0.163599864023373,0.128284326963564,0,0.000236220116865327,0.345172421483758,0,6.14125130517266e-05,0.0384941530248733,0.129338829593215,0.0145752643100963,0.000319802044282453,0.000210920325256352,1.98421977874859e-11,0.179706785581822
"ENSG00000005812",0.559311062656147,0.043713926423866,0.0258202889556912,0.0164530521517061,0.0117357740047637,7.34699889343395e-12,0.0108503562327326,0.000576318486382131,0.000136879424062625,7.51898489053739e-05,0.000106982012121216,3.40723242149512e-07,9.68503137457965e-11,0.331219828976183
"ENSG00000005882",0.151008759293398,0.0343079941841631,0.481472095219423,0.0168084348446384,0.0110088422591599,0.150688195446349,0.00482773388435998,0.000190139564690077,0.00354884555521605,0.000847861537603608,3.97019424532026e-08,3.1801612218586e-05,3.90349309972313e-10,0.145259256506488
"ENSG00000005884",0.285804284943939,0.0964071410813073,0.294038236612998,0.034757206469149,0.017582229030998,0,0.0171646042362756,0.000385595708889831,0.000163499627257594,5.42171213766851e-05,2.3069824419186e-05,1.60957818599658e-05,1.0635641311329e-09,0.253603818497966
"ENSG00000005889",0.267745309723321,0.0410584760628957,0.232170284491218,0.0114193016384637,0.0126750942683323,0.257538075812101,0.00853961300952345,2.12347859977845e-05,0.000145358519202188,5.85962477034946e-05,1.57128432359443e-05,3.53387810900128e-06,3.90908577867469e-11,0.168609408680806
"ENSG00000005893",0.168295506003769,0.0817323306681244,0.0872125884136943,0.00184814102883597,0.000314474388681347,0.188641110963386,0.255043748313228,0.0183405701647267,0.0521008603034928,0.0105567066437362,0.0263665662895326,9.34763622780102e-09,2.38386867029832e-12,0.109547387468772
"ENSG00000005955",0.258672845068839,0.199174633134484,0.0111022834282793,0.111928292597592,0.0937035266231026,0,0.0481078432749169,0.000256923004676574,0.0026301933258392,0.000810990271434731,2.69486539953191e-05,1.82859631096942e-05,2.69205683818976e-09,0.273567231961674
"ENSG00000006007",0.256379543767056,0.0146185715116969,0.0989131848893127,0.0087388591421823,0.00519969569144167,0.227592022183921,0.00195490324254635,0.076240318751454,0.114558504910682,0.00018757565856926,0.0517367617670362,0.00722314479203114,5.11485124675423e-12,0.136656913686956
