"","Regions","DonorID","Sequencing Batch","Age Interval","`Intronic Rate`","`Mapping Rate`","Hemisphere","`PMI (hours)`","`Total N Reads`","Sex","Residuals"
"ENSG00000116151",0.264250795621864,0.0354511874948254,0.292309625565933,0.123369893970994,0.105078867065241,0.00953792740016901,1.94864245270507e-14,0.000705133529591491,0.00194691920265391,0.0224742867871366,0.144875363361572
"ENSG00000157916",0.00356830992773233,0.230310958969445,0.424475576252422,0.00641324941382128,0.0143020565220999,0.0169840671185364,0.0136400846589369,0.0154015872813244,1.64272275063745e-07,0.00582525390998466,0.269078691673423
"ENSG00000157911",8.50828311624342e-12,0.127937446331204,0.587514989533966,0.0848429415397799,0.000752192693012373,0.000271119221390021,4.85812854196887e-10,0.00231710385576718,1.15592951375335e-07,0.00901774235395049,0.187346348383658
"ENSG00000224387",0.13285937480701,0.11262294449581,0.20398191686985,0.00763659982980236,0.124790402169634,0.0254521076455196,0.014501820067313,0.0124287821606111,0.000846972540801589,0.00304826390527481,0.361830815508373
"ENSG00000229393",0.157791343900292,0.0665681630528147,0.220187325907278,0.053800911559189,0.0493623882538601,0.0381660433460271,0.0453504687712438,0.0178736964459588,0.00192307071040414,0.00463466806915234,0.344341919983781
"ENSG00000149527",0.217348204677495,0.0384461825922899,0.208019183784748,0.116821036097688,0.00969350243287533,0.021953381460232,0.0641849933750406,0.00639422947587127,0.00478188913510281,0.000261593742754052,0.312095803225903
"ENSG00000157881",0.047010137043198,0.050199218222319,0.679956693754193,0.040331357413268,0.0214962926278613,0.0252753449760327,5.70502195021372e-14,1.49971534762805e-05,0.0013032071442772,0.00379946719490863,0.130613284470409
"ENSG00000197921",0.370932976608498,0.0270509862328034,0.129503304281021,0.155227382806697,0.0071161415668311,0.00164693436760267,0,0.0016054071332886,2.77656743338143e-05,0.00772748392209842,0.299161617406825
"ENSG00000272449",0.124752759926449,0.0228365467883851,0.288557875161623,0.229962475092849,0.00435011123347769,9.02130359749552e-05,6.69535312108052e-11,0.000913176083890706,0.000147208723028117,1.10165546491589e-11,0.328389633876352
"ENSG00000157873",0.308856707761165,0.0532731355350595,0.171431153989391,0.0807905337669948,0.0125251561742328,0.00648745303456928,2.08433404758525e-11,0.00476587330526579,0.000481540862159925,0.0611348260746045,0.300253619475714
"ENSG00000157870",0.208654658506005,0.0491001225423872,0.36015608918782,0.0310831700554057,0.0194654845664255,0.00469843480302957,0.00276911486971809,0.00167251828841486,0.000551177343372225,0.108640503202264,0.213208726635159
"ENSG00000142606",0.136370995148874,0.0542650970485954,0.47096616577791,0.119782540561312,0.000914877873720938,0.00264571649021073,0.00429648574625241,0.00016213482537318,5.00046914601558e-05,0.0179298243363471,0.192616157499944
"ENSG00000237058",0.269968839133952,0.100282731065605,0.0539400030541138,0.0433828454959461,0.0174233551307279,0.00017376400533222,0.0168312373333466,0.010015688018162,0.00428396573043586,0,0.483697571032379
"ENSG00000215912",0.40210015619561,0.0826027088262198,0.0564091571286139,0.0251123079794143,0.0957525340176153,0.0190950019404436,0.0019209562030817,0.00225175897323791,0.0016795707310748,1.33072970296751e-11,0.313075847991381
"ENSG00000177133",0.459391896232492,0.0332499569819691,0.0249867919080433,0.0134517576446259,0.0143857008018479,0.000101974551441759,0.0337846031131646,0.00238573664384328,0.000175630454544873,0,0.418085951668027
"ENSG00000142611",0.309263580457619,0.0069857335288888,0.0715132201887877,1.1585249006584e-12,0.0284379904317447,0.00102643587173216,0.046823437218895,0.000114939682184783,7.43073439275199e-05,0,0.535760355275062
"ENSG00000130762",0.0473952618344194,0.358299965399974,0.0996267756399316,0.0888371572075197,0.00745925999696544,0.000844356651998554,0.0021651536967978,0.00035180541468,0.000812933471820308,0.0201540461237465,0.374053284562147
"ENSG00000272088",0.00659508250347396,0.00170504472875835,0.0164145467169335,0.0383508323708984,0.140726373216041,0.0150211594022489,0,2.65206858369451e-08,0.00473500149538834,0.00250755213278692,0.773944380912785
"ENSG00000162591",0.0541887685497307,0.110429984783333,0.5556456018251,0.0256486074752537,0.0311642604625649,0.00295996033631265,0.0138555412775973,0.00504204632833472,0.00310509634668657,5.03795735997997e-14,0.197960132615036
"ENSG00000238260",0.0125512606539918,0.115892291406534,0.285399531775795,0.194394022110022,0.0396698200703897,0.0232938938536159,0.012828169020144,0.0234383261864106,0.000530208421723695,0,0.292002476501373
"ENSG00000158109",0.0549565257804311,0.177380597162323,0.112756306432379,0.109799901238456,0.068038918009364,0.00519775761068413,0.0509510979600757,0.0156289623377552,0.00289739603404888,4.01942688091536e-10,0.402392537032541
"ENSG00000116213",0.0697879297494657,0.107239569619521,0.524707509974279,0.0135127822010098,0.111452969878605,0.011956538036699,0,0.00118108053200446,2.90018427472312e-05,5.21348293701117e-11,0.160132618113534
"ENSG00000078900",0.688390730931107,0.0104422935842495,0.0454298796168288,7.00086545683185e-05,0.00121424622298401,0.00806270034130564,0.00887508139855517,9.31767629524486e-05,0.00134241774522453,0.042700630819839,0.193378833922386
"ENSG00000276189",0.114447661513505,0.0677457398144853,0.114691595138585,0.121189426667946,0.0178963911269335,0.0881032304402518,1.33872889065558e-11,0.00834152001664402,0.000381529287643848,0.0394985995314009,0.427704306449218
"ENSG00000227372",0.0805176668743268,0.143446021521673,0.0691891469206312,2.800176952774e-11,0.307299710955896,0.156645604343462,1.31209999431684e-11,0.00908180456851041,0.00221864463181979,0.0581918130434734,0.173409587099085
"ENSG00000235169",0.632524702880143,0.0391948802912211,0.0214176895276244,0.0215674618252109,0.00717568354914922,0.0404856815248884,7.04280925365126e-12,0.000573616743625886,0.00108306261856756,0.0326946202916841,0.203282600740842
"ENSG00000266075",0,0.0263650351221204,0.0921719035874108,0.031923592174499,0.211845852824057,0.0250967967341922,3.58496321029967e-12,0.0124736573449799,0.000318053399386567,0.000816708875202527,0.598988399934567
